


yyyy/mmdd(or -ddd)/hh.h):2024/ 206/14.0UT  geog Lat/Long/Alt= -3.1/ 287.0/   0.0

IRIcor2 is used for topside Ne profile
URSI maps are used for the F2 peak density (NmF2)
foF2 STORM model is turned on 
Shubin2015model is used for F2 peak height (hmF2)
ABT-2009 option is used for the bottomside thickness parameter B0
Scotto-97 no L   option is used for the F1 occurrence probability
foE auroral storm model is turned off
IRI-1990   option is used for D-region
TBT-2012 with solar dependence is used for the electron temperature
Tru-2021 option is used for the ion temperature
RBV10+TBT15 option is used for ion composition
CGM coordinates not computed
auroral boundaries not computed

Peak Densities/cm-3: NmF2=2106405.2   NmF1=      0.0   NmE= 164029.0
Peak Heights/km:     hmF2=   333.94   hmF1=     0.00   hmE=   110.00

Solar Zenith Angle/degree                              47.5
Dip (Magnetic Inclination)/degree                      13.40
Modip (Modified Dip)/degree                            13.17
Solar Sunspot Number (12-months running mean) Rz12    140.4           
Ionospheric-Effective Solar Index IG12                127.5           
Solar radio flux F10.7 (daily)                        183.5           
Solar radio flux F10.7 (81-day average)               183.5           

TEC [1.E16 m-2] is obtained by numerical integration in 1km steps
  from 50 to  1000.0 km. t is the percentage of TEC above the F peak.

-
    H   ELECTRON DENSITY    TEMPERATURES      ION PERCENTAGES[%]*10     1E16m-2
    km    Ne/cm-3 Ne/NmF2 Tn/K  Ti/K  Te/K  O+  N+  H+ He+ O2+ NO+ Clust TEC t/%
   60.0-0.1000E-05-1.000   250   250   250  -1  -1  -1  -1  -1  -1  -1  49.8  58
   70.0 0.5231E+03 0.000   221   221   221  -1  -1  -1  -1  -1  -1  -1  49.8  58
   80.0 0.1335E+04 0.001   212   212   212   0   0   0   0   9 991  -1  49.8  58
   90.0 0.2694E+05 0.013   191   191   191   0   0   0   0 178 822  -1  49.8  58
  100.0 0.1446E+06 0.069   164   164   164   0   0   0   0 622 378  -1  49.8  58
  110.0 0.1640E+06 0.078   254   254   254   0   0   0   0 342 657  -1  49.8  58
  120.0 0.1719E+06 0.082   363   363   363   3   0   0   0 332 663  -1  49.8  58
  130.0 0.1900E+06 0.090   501   501   501  16   1   0   0 311 668  -1  49.8  58
  140.0 0.2112E+06 0.100   623   623   636  51   2   0   0 268 672  -1  49.8  58
  150.0 0.2365E+06 0.112   719   719   773 119   4   0   0 230 636  -1  49.8  58
  160.0 0.2675E+06 0.127   795   795   909 227   6   0   0 188 565  -1  49.8  58
  170.0 0.3068E+06 0.146   856   856  1046 368   9   0   0 144 465  -1  49.8  58
  180.0 0.3599E+06 0.171   904   904  1182 522  10   0   0 104 349  -1  49.8  58
  190.0 0.4356E+06 0.207   942   942  1319 668  12   0   0  69 237  -1  49.8  58
  200.0 0.5252E+06 0.249   973   973  1455 780  12   0   0  44 152  -1  49.8  58
  210.0 0.6273E+06 0.298   997   997  1592 857  12   0   0  27  94  -1  49.8  58
  220.0 0.7419E+06 0.352  1016  1016  1729 903  13   0   0  17  59  -1  49.8  58
  230.0 0.8683E+06 0.412  1031  1031  1865 934  13   0   0  11  37  -1  49.8  58
  240.0 0.1005E+07 0.477  1043  1043  2001 953  12   0   0   7  23  -1  49.8  58
